NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Prestons Pride,D,01/08/2021,3,05/06/2025,Monmr,480m,[1],4.46,1111,3rd,2¼,Tibsy Wibsy,"QAw,Rls,Ld-4",29.49,-10,31.3,04-Jan,A9,29.58
Prestons Pride,D,01/08/2021,3,31/05/2025,Monmr,480m,[1],4.56,5333,4th,3¾,Superstar Aria,StmbStt,29.24,20,31.8,07-Jan,A9,29.74
Prestons Pride,D,01/08/2021,3,26/05/2025,Monmr,480m,[2],4.52,1222,4th,2,Cantcallhimaero,"QAw,Rls,EvCh",29.4,N,31.5,06-Jan,A9,29.56
Prestons Pride,D,01/08/2021,3,21/05/2025,Monmr,264m,[1],,5-5-,5th,7¼,Whisky Boy,"SAw,Rls",15.6,10,31.4,07-Apr,D4,16.29
Prestons Pride,D,01/08/2021,3,12/05/2025,Monmr,480m,[1],4.59,4222,6th,11½,Outdoor Bono,"Rls,CrdRnIn",29.28,20,31.3,03-Jan,A9,30.41
Prestons Pride,D,01/08/2021,3,06/05/2025,Monmr,480m,[2],4.39,1111,2nd,1¾,Angleseyparadise,"VQAw,Rls,Ld-NrLn",29.16,20,31.7,07-Jan,A9,29.5
Prestons Pride,D,01/08/2021,3,23/04/2025,Monmr,480m,[1],4.5,2222,3rd,2½,Global Lagoon,"EP,Rls,EvCh",29.5,-10,31.6,04-Jan,A9,29.6
Prestons Pride,D,01/08/2021,3,17/04/2025,Monmr,480m,[2],4.55,2111,1st,2½,Drumdoit Man,"EP,Rls,Ld1",29.53,N,31.5,5/2F,A10,29.53
Prestons Pride,D,01/08/2021,3,10/04/2025,Monmr,480m,[1],4.45,1111,3rd,hd,Aphrodites Lass,"QAw,Rls,Ld-NrLn",29.39,10,31.9,03-Jan,A10,29.51
Prestons Pride,D,01/08/2021,3,05/04/2025,Monmr,264m,[1],,6-4-,3rd,4,Mags Bolger,"SAw,Rls",15.85,-5,32,15/8F,D4,16.13
Prestons Pride,D,01/08/2021,3,26/03/2025,Monmr,480m,[1],4.46,3223,4th,5¼,Vixons Beauty,"EP,Rls,Crd3",29.04,40,31.7,04-Jan,A10,29.87
Prestons Pride,D,01/08/2021,3,22/03/2025,Monmr,480m,[1],4.51,1111,3rd,1¼,Flyhigh Flash,"QAw,Rls,Ld-RnIn",29.5,N,31.8,07-Feb,A9,29.59
Prestons Pride,D,01/08/2021,3,15/03/2025,Monmr,480m,[1],4.54,3234,5th,4¼,Emerald Sarah,Crd1&3,29.71,-20,31.7,04-Jan,A8,29.85
Prestons Pride,D,01/08/2021,3,10/03/2025,Monmr,480m,[1],4.47,1111,1st,shd,Final Fernandes,"QAw,Rls,HldOn",29.38,N,31.4,03-Jan,A9,29.38
Prestons Pride,D,01/08/2021,3,04/03/2025,Monmr,480m,[1],4.52,2111,2nd,2,Blue Wolf,"EP,Rls,Ld1-NrLn",29.33,N,31.6,09-Apr,A9,29.49
Sacred Heart,B,01/06/2021,4,21/06/2025,Monmr,480m,[2],4.64,6555,3rd,8¾,Amka Raven,"SAw,Mid-Rls,Crd4",29.49,-10,26.9,07-Jan,A9,30.09
Sacred Heart,B,01/06/2021,4,14/06/2025,Monmr,480m,[2],4.6,4444,3rd,6,Fireman,"MsdBrk,Mid-Rls",28.79,40,26.5,12-Jan,A9,29.67
Sacred Heart,B,01/06/2021,4,07/06/2025,Monmr,480m,[2],4.56,5544,4th,1,Bit View Barry,"Crd2,RnOn",29.51,N,27.1,05-Jan,A9,29.6
Sacred Heart,B,01/06/2021,4,31/05/2025,Monmr,480m,[2],4.57,5656,3rd,4½,Blue Danube,"LckdEP,RnOn",28.93,30,26.9,22-Jan,A8,29.6
Sacred Heart,B,01/06/2021,4,26/05/2025,Monmr,480m,[4],4.53,1111,1st,6½,Whisky Charva,"QAw,Mid,RnOn",29.22,10,26.6,04-Jan,A10,29.32
Sacred Heart,B,01/06/2021,4,17/05/2025,Monmr,480m,[4],4.57,1555,3rd,3½,Smiling Freddie,Fcd-Ck&Crd1,29.74,N,26.7,09-Feb,A10,30.02
Sacred Heart,B,01/06/2021,4,12/05/2025,Monmr,480m,[3],4.6,5455,4th,5¼,Darver Forever,"Mid,Crd2&3",29.4,30,26.9,02-Jan,A10,30.13
Sacred Heart,B,01/06/2021,4,03/05/2025,Monmr,480m,[3],4.66,6555,5th,2¾,Tullymurry Rapid,"SAw,Crd&Fcd-Ck3",29.64,N,27,05-Feb,A10,29.86
Sacred Heart,B,01/06/2021,4,28/04/2025,Monmr,480m,[4],4.58,4445,4th,3½,Winterfield May,"Mid,Crd3",29.47,N,26.7,06-Jan,A10,29.76
Sacred Heart,B,01/06/2021,4,23/04/2025,Monmr,480m,[4],4.61,5544,4th,6,State Secret,"SAw,Mid,Crd1",29.57,-10,27.1,11-Jan,A9,29.95
Sacred Heart,B,01/06/2021,4,15/04/2025,Monmr,480m,[2],4.54,2321,1st,2¼,Kelseys Princess,"Mid,Ld3",29.39,20,27.1,6/4F,A10,29.59
Sacred Heart,B,01/06/2021,4,07/04/2025,Monmr,480m,[2],4.54,2544,4th,2¾,Da Blue Flash,"Mid,Crd1",29.71,-10,27.1,09-Feb,A10,29.81
Sacred Heart,B,01/06/2021,4,31/03/2025,Monmr,480m,[2],4.53,6555,4th,2½,Cloud Of Dust,"Rls-Mid,CrdRnUp,Fcd-Ck1",29.65,N,27.2,9/4F,A10,29.85
