NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Bit View Sal,B,Sep-21,3,11/06/2025,Yrmth,462m,[2],5.34,5222,1st,shd,Baggins Lad,"Mid-Rls,Ld4",28,N,28.1,7/4F,A3,28
Bit View Sal,B,Sep-21,3,04/06/2025,Yrmth,462m,[2],5.44,6322,2nd,¾,Droopys Natalie,"Mid-Rls,ChlFr2",28.34,20,28,2/1F,A3,28.61
Bit View Sal,B,Sep-21,3,31/05/2025,Yrmth,462m,[2],5.44,5334,4th,5¾,Muxton Blue,"Mid-Rls,Crd3",27.95,20,28.2,10/11F,A3,28.62
Bit View Sal,B,Sep-21,3,26/05/2025,Yrmth,462m,[3],5.37,4222,2nd,¾,Too Wright,"Mid,Crd1/4,ChlNrLn,RnOn",27.63,40,28,15/8F,A3,28.1
Bit View Sal,B,Sep-21,3,21/05/2025,Yrmth,462m,[2],5.43,5444,4th,5½,Drumdoit Buster,"Mid-Rls,Crd1&3",27.92,20,27.7,07-Feb,A3,28.57
Bit View Sal,B,Sep-21,3,17/05/2025,Yrmth,462m,[2],5.4,3333,2nd,3¼,Kilara Trojan,"Mid,Crd1",28.05,N,27.7,06-Jan,A2,28.31
Bit View Sal,B,Sep-21,3,11/05/2025,Yrmth,462m,[3],5.33,2333,5th,8¼,Hollywell Viper,"Mid-Rls,Crd3/4",27.93,20,28,05-Feb,A2,28.8
Bit View Sal,B,Sep-21,3,03/05/2025,Yrmth,462m,[3],5.41,1222,1st,½,Muxton Blue,"QAw,Mid,Ld4,StydOn",28.23,N,27.8,11-Apr,A3,28.23
Bit View Sal,B,Sep-21,3,28/04/2025,Yrmth,462m,[2],5.51,6333,4th,6,Good Steel,"Mid-Rls,Crd3",28.09,N,27.9,05-Feb,A3,28.56
Bit View Sal,B,Sep-21,3,23/04/2025,Yrmth,462m,[2],5.33,1334,4th,3¼,Druids Luna,"QAw,Mid,Crd3&4",28.03,10,27.8,12-Jan,A2,28.39
